Reviews,Sentiment
Brilliant experience overall for my fiancÃ©âs birthday,2
Really enjoyed our stay in Dean Hotel and experience in Sophie.. But was disappointed in my striplion steak! I had to ask for 2 different steak knives and still couldn't cut it! Dissapointed it was so chewey! But will be bk again!! ð,2
"Portion size vs price was insane.
Order two chicken supremes and both got scabby portions. 
Tables on either side of us also had issue with portion sizes of their dishes.
For reference, the brownie we ordered for dessert was bigger than the piece of chicken we were served.",0
Food was very good and the vibes were really nice,2
"Stunning place. Very beautiful and food was 10 out of 10. Staff very attentive and polite. We are coming back here again with the girls for Christmas party and some other day for family dinner. 
Who ever was rating food to 1 star they really don't know what they are talking about.",2
Unbelievable food and the service was even better couldnât fault it one bit a lovely place,2
Amazing meal our servers were so nice and helpful. We ordered 2 pizzas and a cocktail. Really busy for a Friday evening but will definitely recommend !,2
"Food and service were very good, next time I might book to come later as there wasnât much of an atmosphere at 6:30-7:30.",2
"Lovely to pop into Sophieâs as usual, however the afternoon was left on a sore point:

My daughter ordered a plate of brown bread which never arrived even though the restaurant was really quiet and only 3 times occupies at the time we were there. I didnât flag the brown bread not arriving as I couldnât be bothered asking if they had forgotten. The waitress who took our order never came over to check if everything was ok so o didnât have an opportunity to speak up there either.

Once Iâd fined my meal I went over to pay but didnât realize until I got to the car that the brown bread we were not provided was indeed included on the bill.

I know these things happen so itâs no big deal but especially on a slow day, youâd think there would be extra care in customer service as the easy atmosphere allowed for it?

Hoping better will be done next time and Iâll also be sure to review the bill thoroughly before paying!",1
"Itâs our second time at Sophieâs and we brought friends with us this time. The restaurant is great and the view (although it was dark already) is amazing. Staff were polite and attentive. The food was good, one thing I would say is that my wifeâs gnocchi could have bit more veg in it but this is a personal preference. Deserts were nice and wine was lovely. We are highly recommending this experience in a lovely and friendly restaurant.",2
Food standard has dropped since my last visit. Ordered beef croquettes and there was very little beef in them. Risotto was nice but dry. The white chocolate and raspberry cheesecake had zero white chocolate anywhere. Just plain raspberry cheesecake and I requested a happy birthday writing on the plate on of the dessert for my girlfriend which did not happen. This disappointed me. We were informed that there was a new chef and unfortunately this was very evident,0
"Had a nice evening in Sophie food and service were good ,I'm a bit old school so would like to see the waiting staff a bit more smartly dressed",2
Good place to have a nice dinner. First time here and I was very impressed,2
"Great food, great service and the happy birthday touch was appreciated!",2
"Staff were fantastic, friendly helpful with great recommendations. Food was delicious and ambience was fantastic.",2
Lovely setting and staff. Pizza was fine but desserts were of a lower standard,1
Short menu but still with a good range of choices.  We opted for pizzas which were delivered to our table by the friendly chef. Would have liked a wider choice of sines available by the glass.,2
"Came here for dinner on a trip to Galway, food was absolutely gorgeous ! The decor and atmosphere was just beautiful",2
"Sophieâs was one of our top favorite restaurants in Galway!!

Food was incredible!",2
Lovely evening. Staff were friendly and attentive. Food was superb,2
"Service was excellent. 
Maria served us and she was lovely and very professional.
Portions were small. 
Desert was very disappointing. 
The surroundings and atmosphere were perfect.",1
"The service was very good, I had prawn main Foch very tasty, needed side dish with it. The white Newzeland wine was very good.",2
So disappointing .. I emailed in advance to say it was my daughterâs birthday and could they arrange a candle etc .. service was slow and a pint that was ordered never reached the table . The food portions were small and lacked flavour would have to say it was the worst food Iâve had and so overpriced .. the birthday surprise didnât happen because the waiter came to the table twice to ask who the birthday was for .. in front of everyone .. such a let down ..if youâre paying big money you expect top service .. and just as a last point the staff are very sloppily dressed .. not what you expect to see in âtopâ restaurant,0
Great vibe! Drinks were great! Hannah our server was incredible!!,2
"Gorgeous Food, fabulous ambience & also a DJ playing music not too loudly but it was a beautiful experience",2
Lovely place to eat. Really good views of the city and the food was really good,2
"The place is absolutely stunning with a gorgeous view of the city, spotlessly clean and comfortable. Food was very tasty and the portions were generous. The staff is amazing a d they go above and beyond to make your dinning experience perfect. I would absolutely recommend this place.",2
Very good food with amazing service. Really recommend going at night time or when itâs dark to also enjoy the view outside,2
Fantastic athmosphere. NYC comes to Galway. Well worth a visit,1
"Sophieâs rooftop restaurant was amazing, I had the risotto started it was amazing, then cod also delicious, well worth it, Iâll be back again.",2
A gorgeous view with great vibe and good food! Thoroughly enjoyed our meal here!,2
Staff was tremendous.Adrianne I believe was her name,2
The food was what let you down. I got ceasar salad with limp lettuce and no parmesan. No seasoning at all on the chicken.  Pretty poor effort.,0
The food and service were very good. Food was good quality and of a good standard. My friends felt that their portion sizes were on the small side. Overall a positive experience but we all agreed that the starters and desserts were on the expensive side .,2
"Was a lovely relaxing start to the morning, and they catered for my meal choices with no issue or hesitation",2
Food and cocktails were great !! Staff were so friendly,2
"The food was nice, some portions were small. I have to admit, the fish was absolutely delicious. Service was also great.",2
We had an amazing meal here last night.  Service was excellent and all 4 dinners were incredible.  Hope to be back soon.  Highly recommend this lovely restaurant.,2
"Service was poor. All of our order was not put through, which delayed some food. Ordered a bottle of wine (waitress double checked with me that it was a bottle for three people) someone else then arrived down with a glass. 
Ordered cocktails after dinner and was 25mins waiting for them. 
Food was lovely but service was very disappointing",2
Wonderful  restaurant and staff.  The food was the best we have ever had from the cod to the chicken just outstanding,2
"The poor service ruined our evening. No member of staff came near our table once our food was delivered. 40 mins after we finished eating, i beckoned a staff member to clear our places. There were dirty tables all around us that had been vacated, staff were not over busy, yet they did not clear the tables. Bottle of cleaning spray and cloth was left at table next to us for over half hour, people at other side of us had to order drinks twice before they got them,  no sign of any manager or staff getting direction from anyone. Seemed very inexperienced.",1
"Food was very good, although not much choice,  service was extremely slow,  when we asked for more drinks/condiments we were forgotten and had to re ask,  not once did anyone come to the table so we could order extra drinks.  We were only served on arrival",1
Lunch was very basic food choices done really well. Be warned that portions are small so sides are needed. Our meal took an age to arrive even though the restaurant was very quiet but staff were friendly and efficient.,2
"Great views from restaurant and can sit outside and enjoy a cocktail 

Went with 2 children at 530 and no childrenâs options at all 

My main course  â¬30 steak was  nice but tiny portions and I was hungry afterwards

I wouldnât rush back or recommend anyone to go for the food but worth a visit to have a drink",0
"We had a lovely meal with a nice bottle of Italian Wine. Our waiter, Bernardo, was excellent and very knowledgable about both food & drink. Duck was a little on tough side and seafood pasta dish was excessively tomatoey. Sunset & views were spectacular. Not as good as Laylaâs in Ranelagh.",2
"Zussana was our waitress and very quick to get us anything we needed. She also was very visibly busy but took the extra steps to make sure we were enjoying everything about our meal.

The food was great and the view during dinner was a beautiful Galway sunset.",2
"Fantastic, polite and friendly service. Food was beautifully presented and absolutely delicious.",2
Everything perfect except for the sad dead palm trees on the balcony.which incidentally can be seen on the approach from the Dublin road. Not a good look.,2
"Really enjoyed our meal here for our friends going away, the staff made it special for us aswell by giving her a glass of Prosecco. Would definitely recommend",2
Food was lovely. Staff great and the view was wonderful,2
"The staff wasnât friendly at all, the dinner menu is really poor there are not many options

The place is beautiful and the ambiance is nice",1
I have to say that my girlfriends duck was very tough and dry and should of came with a side dish without having to order one separately.,0
Brought my mother for dinner there as I had being 3 times before so knew it was a nice place to go,2
Loved it and will be back again for sure as soon as I can,2
Food was absolutely delicious. Fun and friendly staff. Beautiful dining room and great views of Galway.,2
Fantastic service and great food. Very accommodating and very much added to overall enjoyment of the night. Would highly recommend.,2
"I had the cod it was lovely , anther guest had the steak and she thought it was tough and overpriced for what she got. 
We had a gorgeous waitress , Suzana. She was excellent.",1
"Food was decent but possibly the worst service that Iâve ever had in my life (and Iâm over 70). The server came to get our order and thatâs the last we ever saw of him. The table next to us come 20-30 minutes after us, but received their meal well ahead of us. The noise level is best suited for a rock concert.",1
"Both food and service were fab, will definitely be back",2
"We really enjoyed the Dean and the roof top restaurant.Service was brilliant,ambience fabulous.Would definately go again.Great location.",2
"We booked here for a celebration, the vibe and atmosphere was great, the service was excellent, we all loved the starters, our mains were also great, the only thing I would say is that you need to order sides with your mains as they don't come with much,
Overall, we would recommend Sophies as our group of 4 all had a great meal there,",2
"We ordered some cocktails to start which were  nice and well presented however we were quite disappointed with the quality of the food we received. We ordered the croquettes to share. Which were nice and well cooked giving us the impression the rest would match the same quality.
However when we received our mains the linguine I received was what appeared to have been left sitting under a heat lamp for a long period of time. The tops of the pasta had turned a different shade and became dried out. The bread that came with the 2 salads was over cooked to the point where chewing on them hurt your teeth. The steak was delicious and tender, was without a doubt the nicest dish.
The service was good, the staff were friendly well mannered and welcoming. 

It was a disappointing end to our graduation day as I hoped to impress family travelling up with the dining experience only to be let down with the main dishes. 

It looked like a nice spot for drinks and cocktails with an amazing view and atmosphere ,but couldn't recommend based on the food.",0
Good food and beautiful view! We spent a lovely evening.,2
Setting very good - tempura prawns and seafood linguine good but gnocchi and risotto bland.,1
Everything tasted lovely. Steak were ordered medium rare but came out well done. Other than that was very very good.,2
Food was amazing and the staff was super friendly and helpful! Loved the ambiance and the views are great!,2
"Fabulous meal last night in Sophie's. The view as the sun was going down was just amazing, which really added to the ambience. The rosÃ© was lovely - not all restaurants get it right. The service was great and we were not hurried out of there, so finished up our evening sipping our wine, overlooking the city. My chicken dish was delicious and I don't know what the secret ingredient is in the mash (most likely, loads of butter) but it was divine! I love the place!!",2
Visited for my daughters 10th Birthday - the staff were excellent - food was delivered promptly and overall a very nice experience,2
"Sophie's was fantastic!
My friends and I had a great time.
The ambiance was lovely and you could see the element of quality and they went the extra mile to make sure we had a great time!
The staff surprised me with a cake and even sang happy birthday!

It was a lovely experience overall",2
"Booked table for 2pm 3 customers split bill at pay station, long wait, seated at table, only menu was brunch, no lunch available on bank Holidays. As this was a birthday lunch, very disappointed. Left the restaurant, no Interaction with staff.  Went down to Elephant and Castle, very nice friendly staff food was nice, bit not outstanding. 
Pity, as I'd heard great things about Sophies but was not to be.",1
Prawn starter beautiful and a lovely fillet of beef. Fast and very friendly service. Lovely atmosphere with a live sax which was lovely but a little loud sometimes. Lovely setting and have already booked to go back. Definitely recommend,2
We were met with a lovely waitress who was attentive and knowledgeable. However she was under pressure with a lot of tables and we waited up to 15 minutes for drinks and even water to be brought to table. We choose to have mains as none of the starters took our fancy but were given the hard sell about starters which I found uncomfortable. My duck was bland and the cold salad with it was not a good accompaniment. Wasnât asked how I wanted it cooked I would have said m-r and it was indeed more r-m. Husbands cod was underwhelming. Cocktails were v nice. Facilities and bathrooms lovely. More work needed on service and menus.,1
"Lovely food,presented and seved well,our waiter was very attentive,would reccomend to eat here",2
I coeliac and vegetarian and my choices were  very limited. I opted for the gluten free vegetarian pizza as there wasnt much else. It was the worst gluten free base I have had. It would be better not to have it on the menu as so bad - like cardboard. Topping not great either compared to other vegetarian pizzas I have had. Would not have again. Kids pizza were good. Sides were good. But very over priced for what you get. Not fine dining experience with fine dining prices.,1
"On arrival we were seated by Suzanna, who is  clearly a dedicated professional and enjoys her job. she was warm engaging and knowledgeable and provided attentive service and suggestions in a non intrusive way. Just first class. 

Food was excellent, surroundings were fresh and ambient with ever changing mood of the Galway skyline an additional treat. The music was background chill out style and not intrusive. 

Overall we were very impressed and already looking for reasons to return. Keep up the excellent work, from two happy locals.",2
Loved everything about our experience in Sophieâs and our server Karina was excellent,2
Great food presented by friendly efficient staff. Nice atmosphere,2
"We had a lovely anniversary dinner there, fantastic meal with a great table in the corner for privacy which was sweet but directly under the speakers which played loud dance music through-out our dinner. It was difficult to have a conversation. Suggestion to maybe lower the volume so that it's more ambiance background music?",2
great food and real nice drinks. and service was really good,2
I just think over â¬200 to feed 2 people and have a few drinks is quite expensive. I only had dessert as I was still not full after my main. It's a lovely restaurant with really nice staff though.,2
"Overall very good but the menu not near as good on your cork menu
Also dinner menu didnât open on your app
I added online that it was my partners birthday but nobody mentioned it on the night",2
"We had a wonderful meal here. The food was outstanding. However the service was just ok. 
We had different wait staff and the guy who asked if we wanted to see the desert menu never came back with it. When we asked for the bill he didnât query that he hadnât brought the desert menu. He seemed a bit more interested in the other servers.  We ended up walking away.  We didnât tip and we definitely would have.",2
"Lovely venue, great food and great sevice. I would recommend this.",2
"Starters were good. Mains were very disappointing. (Steak and Duck) Requested duck to be served pink, was over cooked, tough and cold. Steak was very mediocre for the price.

Waiting staff were very nice and engaging, atmosphere was buzzing and very comfortable seating with fabulous views of the city - the food unfortunately letâs it down, would return for drinks but not for a meal â¹ï¸",0
"Cool vibe with great background music, and very attentive staff. Food was very good",2
Overall it was quite disappointing the setting itself is lovely but portions were too small food was nice but nothing wow and desert was summer mess a broken up meringue on a plate with berries scattered and a scoop of ice cream my children could have done it. Waitress was a little pushy and considering we waited a while for food which was OK we were promptly reminded to vacate our table. I'm sorry but I wouldn't be bothered returning too many other places willing to impress customers,0
"Top level and efficient service from the off. Food was outstanding, compliments to the chefs! Will definitely be back again.",2
Was in with my girlfriend for a celebration and the new girl working there was absolutely amazing. Friendly and bubbly. The new menu was amazing along with the cocktails,2
Very slow service particularly for drinks. Didnât bother ordering drinks after dinner as we were too long waiting for order to be taken. Had indicated it was a special birthday (60th) when booking yet no recognition or token/gesture of same,2
"Sophie's offered me some of the best Galway has to offer-- I had a lovely cod entrÃ©e with the scallops ceviche for starters, and everything was delicious and very fresh. Highly recommended!",2
"Second time eating here and i wasn't impressed 
I got Fillet steak and mashed potatoes and my steak was dry and potatoes and pepper sauce were cold",0
"Love the ambience of this rooftop, the duck and the pink drink âthinking of youâ are amazing",2
"The decor and ambiance is amazing ! The food is extremely overpriced and so underwhelming. I ordered the duck, it was tough to eat and not hot and my friend ordered the linguine, which she felt was reheated. Dessert was tasty but aesthetically disappointing.
The cheapest bottle of wine was â¬36. I wouldnt mind paying the money if the food was worth it but it really wasnât and I was really looking forward to it , as I had been before Christmas and enjoyed the goats cheese pizza and cocktails so much. Not worth it ! Would be reluctant to go again not worth the risk with the price",0
"Excellent location and view, friendly staff and yummy food",2
We go here regularly and always love the food and found it to be one of the best places in Galway for high quality tasty food. However this time the menu had changed and there was no risotto or lamb for main course which was very disappointing. The flavour of the food was also very poor. The gnocchi was really bland and doughy and I left most of it behind me. Menu and flavour needs a lot of improvement,1
"Really enjoyable lunch with great service.
Will definitely be back soon",2
Unfortunately the food and service was very poor.  From 2 courses we enjoyed only one starter.  We were waiting very long time not only for a food but at least 15 minutes for dessert menu. The place is lovely but nothing else. I would not recommend this place.,0
Starters came before drinks.Tasteless food. Arrived on the table when we werenât there despite letting staff know we were stepping out. Communication seems off between waiting staff / kitchen and runners,0
We visited Sophieâs for my dadâs 60th birthday meal and it was faultless. The food and service was super and the restaurant has great views of Galway with lovely decor. Would highly recommend!,2
"Waitress was top class.
Starter was delicious.
Main course very good.
Dessert was disappointing.",2
"This was our first visit here. Food and service was great, staff attentive, pleasant and knowledgeable.  Lovely decor.  I would highly recommend Sophieâs  and will definitely be back.",2
We had a lovely work get together here. Food and service were amazing. Venue is beautiful. We had cocktails on the balcony afterwards. Will definitely be back,2
6.50 euros for a pint of Guinness is shocking reason why bar was empty,2
"Hi there 
Paid â¬20 deposit I did not get it back",2
"Glorious weathr, very friendly and eficient staff and the food served was excellent, Would not hesitate to recommend it",2
Food was tasty. Cocktail was delicious ðð¸ another vegetarian option would be nice,2
Great experience. Staff were very helpful and done all they could to make our dinning experience prefect. Food was top quality but found the lunchtime menu a bit restrictive for people with simple tastes. Maybe add a clue sandwich or options similar. I look forward to visiting again,2
"No kids menu (on fathers day)
Could not get a starter as main course, this would incur an additional fee but would not contain a bigger size 
Pizza and Steak was very nice, could not fault the food quality but was very exensive",1
"We went here for breakfast, small menu but definitely something for everyone. The waitstaff leave you alone and only come by if they notice something at your table.  Stunning furniture and atmosphere.  Will be returning.",2
Staff are so helpful and pleasent. Quality of food excellent.,2
"Hi,

We had a nice brunch, service was ok, a bit staggered! Food did not arrive together, we were half way through our breakfast when two of our childrenâs dishes arrived (they were quite busy at the time). We had to remind the waiter to bring the toast, he forgot about it. We ordered 2 teas, it tasted like water ! Ordered a second pot, I said the tea was weak but they still charged for the second pot. I had avocado on toast (on a half slice of sourdough), it was very tasty but tiny ! Luckily my son ordered a pizza that he couldnât finish, otherwise wI would have left still hungry. On the positive, the waiting staff were extremely pleasant and there was a lovely atmosphere. Toilets and premises were spotless and booking via OpenTable was seemless.",1
Lovely food and atmosphere. Very central location.,2
"Beautiful property, terribly let down by its kitchen, totally inaccurate menu offering from advertised on website, sparce is  putting it mildly, should have left when this menu was presented.
Awful food, I really have had better at a roadside stop 
Clearly no chef put this out, the fact that no member of the floor staff asked how we were doing says it all, I had to bring it to the attention on paying, in fairness the chap took my comments, and gave a discount,  we headed to the huntsman Inn for our usual lovely breakfast.",0
"Top class in every way and the food was spot on.

Great before, during and after meal",2
"Beautiful restaurant and great food, was well worth the visit and would go there again!",2
"Three of us had an early dinner before catching a train back to Dublin. The place was pretty empty so it was quiet. The service was excellent. Two of us had the lamb shoulder which was fall-apart tender and very tasty. The other had the sirloin which was also nicely flavored and tender. It was a Monday night, and early, which may explain the lack of clientele. Two other parties came in before we left. I hope more people will give it a try.",2
Friendly staff. Good food. Vibrant. Good service. Def be back again,2
